feature,importance
lag_1,10704
lag_7,9989
일,8627
same_dow_mean_28,7776
lag_14,7654
lag_28,6354
roll7_mean,6091
출시일로부터경과일,5331
영업장명_메뉴명,5268
roll14_mean,5119
roll28_mean,5089
roll7_sum,3089
요일,3062
월,2611
요일_sin,2317
월_sin,2011
요일_cos,1881
월_cos,1841
휴무일여부,1045
출시후_주차,872
공휴일여부,552
년,533
계절(겨울0봄1여름2가을3),221
출시_1_2주,198
출시_3_4주,109
주말여부,57
출시_5주이상,3
출시_0주,2
