feature,importance
lag_1,16985
lag_7,15822
일,14624
same_dow_mean_28,13040
lag_14,12141
lag_28,10447
roll7_mean,10340
roll14_mean,8826
roll28_mean,8737
출시일로부터경과일,8606
영업장명_메뉴명,8352
roll7_sum,4973
요일,4896
월,4323
요일_sin,3552
요일_cos,3302
월_sin,3175
월_cos,2954
휴무일여부,1494
출시후_주차,1327
년,819
공휴일여부,625
출시_1_2주,424
계절(겨울0봄1여름2가을3),325
출시_3_4주,182
주말여부,97
출시_0주,6
출시_5주이상,4
